Order ID,Items,Item_Count
OD-000047,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Phones'), np.str_('Accessories')]",4
OD-000048,"[np.str_('Tables'), np.str_('Furnishings')]",2
OD-000049,"[np.str_('Furnishings'), np.str_('Accessories'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000050,"[np.str_('Accessories'), np.str_('Furnishings')]",2
OD-000051,"[np.str_('Tables'), np.str_('Machines')]",2
OD-000052,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000053,"[np.str_('Accessories'), np.str_('Paper'), np.str_('Chairs'), np.str_('Furnishings'), np.str_('Supplies')]",5
OD-000054,"[np.str_('Paper'), np.str_('Phones'), np.str_('Accessories'), np.str_('Furnishings')]",4
OD-000055,"[np.str_('Accessories'), np.str_('Chairs'), np.str_('Machines'), np.str_('Copiers'), np.str_('Storage')]",5
OD-000056,"[np.str_('Storage'), np.str_('Phones')]",2
OD-000057,"[np.str_('Phones'), np.str_('Paper'), np.str_('Storage'), np.str_('Supplies')]",4
OD-000058,"[np.str_('Tables'), np.str_('Chairs')]",2
OD-000059,"[np.str_('Bookcases'), np.str_('Tables')]",2
OD-000060,"[np.str_('Phones'), np.str_('Labels'), np.str_('Binders'), np.str_('Machines'), np.str_('Storage')]",5
OD-000061,"[np.str_('Bookcases'), np.str_('Tables')]",2
OD-000062,"[np.str_('Tables'), np.str_('Copiers')]",2
OD-000064,"[np.str_('Tables'), np.str_('Paper'), np.str_('Machines'), np.str_('Accessories')]",4
OD-000065,"[np.str_('Bookcases'), np.str_('Paper'), np.str_('Machines'), np.str_('Accessories')]",4
OD-000066,"[np.str_('Labels'), np.str_('Bookcases'), np.str_('Paper'), np.str_('Furnishings')]",4
OD-000067,"[np.str_('Binders'), np.str_('Paper'), np.str_('Machines')]",3
OD-000068,"[np.str_('Binders'), np.str_('Accessories'), np.str_('Phones')]",3
OD-000069,"[np.str_('Labels'), np.str_('Chairs')]",2
OD-000070,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Accessories')]",3
OD-000071,"[np.str_('Phones'), np.str_('Copiers'), np.str_('Storage')]",3
OD-000072,"[np.str_('Labels'), np.str_('Supplies'), np.str_('Chairs')]",3
OD-000073,"[np.str_('Labels'), np.str_('Tables'), np.str_('Supplies'), np.str_('Accessories')]",4
OD-000074,"[np.str_('Accessories'), np.str_('Storage'), np.str_('Supplies')]",3
OD-000075,"[np.str_('Labels'), np.str_('Accessories'), np.str_('Paper'), np.str_('Chairs')]",4
OD-000076,"[np.str_('Labels'), np.str_('Bookcases'), np.str_('Paper'), np.str_('Binders')]",4
OD-000077,"[np.str_('Storage'), np.str_('Supplies'), np.str_('Chairs')]",3
OD-000078,"[np.str_('Copiers'), np.str_('Phones')]",2
OD-000079,"[np.str_('Bookcases'), np.str_('Phones'), np.str_('Accessories')]",3
OD-000080,"[np.str_('Labels'), np.str_('Machines')]",2
OD-000081,"[np.str_('Bookcases'), np.str_('Supplies')]",2
OD-000082,"[np.str_('Bookcases'), np.str_('Phones'), np.str_('Accessories')]",3
OD-000083,"[np.str_('Bookcases'), np.str_('Tables')]",2
OD-000084,"[np.str_('Storage'), np.str_('Phones'), np.str_('Supplies'), np.str_('Furnishings')]",4
OD-000085,"[np.str_('Binders'), np.str_('Paper'), np.str_('Phones'), np.str_('Tables')]",4
OD-000086,"[np.str_('Bookcases'), np.str_('Furnishings')]",2
OD-000087,"[np.str_('Bookcases'), np.str_('Storage'), np.str_('Accessories')]",3
OD-000088,"[np.str_('Tables'), np.str_('Storage'), np.str_('Accessories'), np.str_('Chairs')]",4
OD-000089,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Machines'), np.str_('Furnishings')]",4
OD-000090,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Chairs'), np.str_('Copiers'), np.str_('Storage')]",5
OD-000091,"[np.str_('Furnishings'), np.str_('Tables'), np.str_('Chairs')]",3
OD-000092,"[np.str_('Binders'), np.str_('Bookcases'), np.str_('Tables'), np.str_('Chairs')]",4
OD-000093,"[np.str_('Labels'), np.str_('Tables'), np.str_('Chairs')]",3
OD-000094,"[np.str_('Labels'), np.str_('Binders'), np.str_('Tables'), np.str_('Furnishings')]",4
OD-000095,"[np.str_('Copiers'), np.str_('Machines'), np.str_('Furnishings')]",3
OD-000096,"[np.str_('Tables'), np.str_('Furnishings')]",2
OD-000097,"[np.str_('Copiers'), np.str_('Phones'), np.str_('Chairs')]",3
OD-000098,"[np.str_('Labels'), np.str_('Storage'), np.str_('Chairs')]",3
OD-000099,"[np.str_('Storage'), np.str_('Machines')]",2
OD-000100,"[np.str_('Binders'), np.str_('Storage'), np.str_('Furnishings')]",3
OD-000101,"[np.str_('Paper'), np.str_('Copiers'), np.str_('Storage')]",3
OD-000102,"[np.str_('Tables'), np.str_('Copiers'), np.str_('Phones')]",3
OD-000103,"[np.str_('Labels'), np.str_('Copiers')]",2
OD-000104,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Machines')]",3
OD-000105,"[np.str_('Accessories'), np.str_('Furnishings')]",2
OD-000106,"[np.str_('Labels'), np.str_('Binders'), np.str_('Supplies')]",3
OD-000107,"[np.str_('Machines'), np.str_('Paper'), np.str_('Supplies'), np.str_('Furnishings')]",4
OD-000108,"[np.str_('Copiers'), np.str_('Phones')]",2
OD-000109,"[np.str_('Copiers'), np.str_('Storage'), np.str_('Supplies')]",3
OD-000110,"[np.str_('Tables'), np.str_('Phones'), np.str_('Machines'), np.str_('Accessories')]",4
OD-000111,"[np.str_('Accessories'), np.str_('Binders'), np.str_('Bookcases'), np.str_('Copiers'), np.str_('Storage')]",5
OD-000112,"[np.str_('Paper'), np.str_('Phones'), np.str_('Accessories')]",3
OD-000113,"[np.str_('Accessories'), np.str_('Paper'), np.str_('Machines'), np.str_('Furnishings')]",4
OD-000114,"[np.str_('Storage'), np.str_('Machines')]",2
OD-000115,"[np.str_('Paper'), np.str_('Phones'), np.str_('Supplies'), np.str_('Furnishings')]",4
OD-000116,"[np.str_('Tables'), np.str_('Furnishings')]",2
OD-000119,"[np.str_('Paper'), np.str_('Tables'), np.str_('Furnishings')]",3
OD-000120,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Supplies'), np.str_('Furnishings')]",4
OD-000121,"[np.str_('Tables'), np.str_('Binders'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000122,"[np.str_('Chairs'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000123,"[np.str_('Bookcases'), np.str_('Storage')]",2
OD-000124,"[np.str_('Tables'), np.str_('Binders'), np.str_('Machines')]",3
OD-000125,"[np.str_('Labels'), np.str_('Tables')]",2
OD-000126,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Tables'), np.str_('Furnishings')]",4
OD-000127,"[np.str_('Copiers'), np.str_('Storage')]",2
OD-000128,"[np.str_('Labels'), np.str_('Machines'), np.str_('Tables')]",3
OD-000129,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Furnishings')]",3
OD-000130,"[np.str_('Labels'), np.str_('Bookcases'), np.str_('Tables'), np.str_('Copiers'), np.str_('Supplies')]",5
OD-000131,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Phones'), np.str_('Supplies')]",4
OD-000132,"[np.str_('Labels'), np.str_('Paper'), np.str_('Tables')]",3
OD-000133,"[np.str_('Accessories'), np.str_('Supplies')]",2
OD-000134,"[np.str_('Accessories'), np.str_('Binders'), np.str_('Tables'), np.str_('Chairs')]",4
OD-000135,"[np.str_('Tables'), np.str_('Supplies')]",2
OD-000136,"[np.str_('Furnishings'), np.str_('Labels'), np.str_('Binders'), np.str_('Chairs')]",4
OD-000137,"[np.str_('Paper'), np.str_('Phones'), np.str_('Chairs'), np.str_('Labels'), np.str_('Bookcases')]",5
OD-000138,"[np.str_('Labels'), np.str_('Binders'), np.str_('Tables'), np.str_('Furnishings'), np.str_('Storage')]",5
OD-000139,"[np.str_('Accessories'), np.str_('Binders')]",2
OD-000140,"[np.str_('Bookcases'), np.str_('Storage'), np.str_('Phones'), np.str_('Supplies')]",4
OD-000141,"[np.str_('Tables'), np.str_('Phones'), np.str_('Chairs')]",3
OD-000142,"[np.str_('Tables'), np.str_('Paper')]",2
OD-000143,"[np.str_('Labels'), np.str_('Copiers'), np.str_('Tables')]",3
OD-000144,"[np.str_('Labels'), np.str_('Binders'), np.str_('Supplies')]",3
OD-000145,"[np.str_('Phones'), np.str_('Accessories'), np.str_('Storage'), np.str_('Chairs')]",4
OD-000146,"[np.str_('Furnishings'), np.str_('Phones'), np.str_('Chairs')]",3
OD-000147,"[np.str_('Tables'), np.str_('Bookcases'), np.str_('Machines'), np.str_('Chairs')]",4
OD-000148,"[np.str_('Labels'), np.str_('Bookcases'), np.str_('Binders'), np.str_('Supplies')]",4
OD-000149,"[np.str_('Accessories'), np.str_('Chairs'), np.str_('Machines'), np.str_('Copiers'), np.str_('Storage')]",5
OD-000150,"[np.str_('Machines'), np.str_('Furnishings')]",2
OD-000151,"[np.str_('Storage'), np.str_('Machines'), np.str_('Furnishings')]",3
OD-000152,"[np.str_('Labels'), np.str_('Storage'), np.str_('Machines'), np.str_('Furnishings')]",4
OD-000153,"[np.str_('Tables'), np.str_('Copiers')]",2
OD-000154,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000155,"[np.str_('Labels'), np.str_('Copiers')]",2
OD-000156,"[np.str_('Bookcases'), np.str_('Accessories'), np.str_('Chairs')]",3
OD-000157,"[np.str_('Machines'), np.str_('Binders'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000158,"[np.str_('Labels'), np.str_('Binders'), np.str_('Supplies')]",3
OD-000159,"[np.str_('Accessories'), np.str_('Storage')]",2
OD-000160,"[np.str_('Tables'), np.str_('Copiers'), np.str_('Bookcases'), np.str_('Furnishings')]",4
OD-000161,"[np.str_('Bookcases'), np.str_('Binders'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000162,"[np.str_('Bookcases'), np.str_('Phones')]",2
OD-000163,"[np.str_('Bookcases'), np.str_('Paper'), np.str_('Binders'), np.str_('Chairs')]",4
OD-000164,"[np.str_('Tables'), np.str_('Copiers')]",2
OD-000165,"[np.str_('Bookcases'), np.str_('Storage'), np.str_('Machines'), np.str_('Tables')]",4
OD-000166,"[np.str_('Bookcases'), np.str_('Binders'), np.str_('Supplies')]",3
OD-000167,"[np.str_('Storage'), np.str_('Phones'), np.str_('Machines')]",3
OD-000168,"[np.str_('Binders'), np.str_('Bookcases')]",2
OD-000169,"[np.str_('Tables'), np.str_('Phones'), np.str_('Chairs')]",3
OD-000170,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Bookcases'), np.str_('Furnishings'), np.str_('Copiers')]",5
OD-000171,"[np.str_('Accessories'), np.str_('Furnishings')]",2
OD-000172,"[np.str_('Accessories'), np.str_('Storage'), np.str_('Tables')]",3
OD-000173,"[np.str_('Accessories'), np.str_('Binders'), np.str_('Labels'), np.str_('Bookcases'), np.str_('Storage')]",5
OD-000174,"[np.str_('Paper'), np.str_('Phones'), np.str_('Bookcases'), np.str_('Machines'), np.str_('Furnishings')]",5
OD-000175,"[np.str_('Accessories'), np.str_('Supplies'), np.str_('Tables')]",3
OD-000176,"[np.str_('Accessories'), np.str_('Chairs'), np.str_('Labels'), np.str_('Bookcases'), np.str_('Copiers')]",5
OD-000177,"[np.str_('Tables'), np.str_('Copiers')]",2
OD-000178,"[np.str_('Binders'), np.str_('Tables'), np.str_('Storage'), np.str_('Accessories')]",4
OD-000179,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Storage'), np.str_('Supplies')]",4
OD-000180,"[np.str_('Chairs'), np.str_('Labels'), np.str_('Tables'), np.str_('Furnishings'), np.str_('Copiers')]",5
OD-000181,"[np.str_('Labels'), np.str_('Binders'), np.str_('Machines'), np.str_('Tables')]",4
OD-000182,"[np.str_('Machines'), np.str_('Accessories'), np.str_('Supplies')]",3
OD-000183,"[np.str_('Paper'), np.str_('Supplies'), np.str_('Furnishings')]",3
OD-000184,"[np.str_('Binders'), np.str_('Bookcases')]",2
OD-000185,"[np.str_('Accessories'), np.str_('Machines'), np.str_('Tables')]",3
OD-000186,"[np.str_('Binders'), np.str_('Copiers')]",2
OD-000187,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Machines'), np.str_('Furnishings')]",4
OD-000188,"[np.str_('Accessories'), np.str_('Chairs')]",2
OD-000189,"[np.str_('Binders'), np.str_('Accessories'), np.str_('Bookcases')]",3
OD-000190,"[np.str_('Accessories'), np.str_('Copiers'), np.str_('Storage'), np.str_('Supplies')]",4
OD-000191,"[np.str_('Phones'), np.str_('Accessories'), np.str_('Storage')]",3
OD-000192,"[np.str_('Labels'), np.str_('Phones')]",2
OD-000193,"[np.str_('Chairs'), np.str_('Binders'), np.str_('Bookcases'), np.str_('Machines'), np.str_('Storage')]",5
OD-000194,"[np.str_('Storage'), np.str_('Chairs')]",2
OD-000195,"[np.str_('Accessories'), np.str_('Paper'), np.str_('Chairs'), np.str_('Machines'), np.str_('Furnishings')]",5
OD-000196,"[np.str_('Bookcases'), np.str_('Copiers')]",2
OD-000197,"[np.str_('Furnishings'), np.str_('Tables'), np.str_('Machines'), np.str_('Chairs')]",4
OD-000198,"[np.str_('Machines'), np.str_('Supplies')]",2
OD-000199,"[np.str_('Furnishings'), np.str_('Tables'), np.str_('Paper'), np.str_('Chairs')]",4
OD-000200,"[np.str_('Tables'), np.str_('Supplies')]",2
OD-000201,"[np.str_('Tables'), np.str_('Copiers'), np.str_('Binders'), np.str_('Supplies')]",4
OD-000202,"[np.str_('Copiers'), np.str_('Furnishings')]",2
OD-000203,"[np.str_('Tables'), np.str_('Copiers')]",2
OD-000204,"[np.str_('Accessories'), np.str_('Storage'), np.str_('Machines')]",3
OD-000205,"[np.str_('Tables'), np.str_('Copiers'), np.str_('Storage'), np.str_('Machines')]",4
OD-000206,"[np.str_('Machines'), np.str_('Accessories'), np.str_('Supplies'), np.str_('Labels')]",4
OD-000207,"[np.str_('Labels'), np.str_('Storage'), np.str_('Binders'), np.str_('Furnishings')]",4
OD-000208,"[np.str_('Paper'), np.str_('Copiers')]",2
OD-000209,"[np.str_('Paper'), np.str_('Phones'), np.str_('Tables')]",3
OD-000210,"[np.str_('Labels'), np.str_('Phones'), np.str_('Machines'), np.str_('Furnishings')]",4
OD-000211,"[np.str_('Furnishings'), np.str_('Supplies'), np.str_('Chairs')]",3
OD-000212,"[np.str_('Accessories'), np.str_('Copiers'), np.str_('Bookcases')]",3
OD-000213,"[np.str_('Accessories'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000214,"[np.str_('Binders'), np.str_('Copiers')]",2
OD-000215,"[np.str_('Bookcases'), np.str_('Paper'), np.str_('Binders'), np.str_('Machines')]",4
OD-000216,"[np.str_('Tables'), np.str_('Paper'), np.str_('Accessories'), np.str_('Furnishings')]",4
OD-000217,"[np.str_('Tables'), np.str_('Bookcases'), np.str_('Machines')]",3
OD-000218,"[np.str_('Furnishings'), np.str_('Chairs')]",2
OD-000219,"[np.str_('Paper'), np.str_('Storage'), np.str_('Supplies')]",3
OD-000220,"[np.str_('Bookcases'), np.str_('Accessories'), np.str_('Supplies'), np.str_('Tables')]",4
OD-000221,"[np.str_('Binders'), np.str_('Paper'), np.str_('Bookcases'), np.str_('Supplies')]",4
OD-000222,"[np.str_('Labels'), np.str_('Copiers')]",2
OD-000223,"[np.str_('Bookcases'), np.str_('Storage')]",2
OD-000224,"[np.str_('Labels'), np.str_('Paper'), np.str_('Tables')]",3
OD-000225,"[np.str_('Accessories'), np.str_('Phones'), np.str_('Bookcases')]",3
OD-000226,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Storage')]",3
OD-000227,"[np.str_('Bookcases'), np.str_('Paper'), np.str_('Chairs')]",3
OD-000228,"[np.str_('Storage'), np.str_('Phones')]",2
OD-000229,"[np.str_('Accessories'), np.str_('Tables'), np.str_('Furnishings')]",3
OD-000230,"[np.str_('Machines'), np.str_('Labels'), np.str_('Phones'), np.str_('Supplies')]",4
OD-000231,"[np.str_('Phones'), np.str_('Chairs'), np.str_('Tables'), np.str_('Binders'), np.str_('Copiers')]",5
OD-000232,"[np.str_('Accessories'), np.str_('Binders'), np.str_('Machines')]",3
OD-000233,"[np.str_('Chairs'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000234,"[np.str_('Accessories'), np.str_('Supplies')]",2
OD-000235,"[np.str_('Binders'), np.str_('Bookcases')]",2
OD-000236,"[np.str_('Machines'), np.str_('Labels'), np.str_('Supplies'), np.str_('Accessories')]",4
OD-000237,"[np.str_('Accessories'), np.str_('Tables'), np.str_('Bookcases'), np.str_('Copiers'), np.str_('Storage')]",5
OD-000238,"[np.str_('Accessories'), np.str_('Paper'), np.str_('Chairs'), np.str_('Labels'), np.str_('Storage')]",5
OD-000239,"[np.str_('Machines'), np.str_('Chairs')]",2
OD-000240,"[np.str_('Paper'), np.str_('Machines')]",2
OD-000241,"[np.str_('Bookcases'), np.str_('Binders'), np.str_('Tables'), np.str_('Chairs')]",4
OD-000242,"[np.str_('Binders'), np.str_('Machines')]",2
OD-000243,"[np.str_('Furnishings'), np.str_('Machines'), np.str_('Chairs')]",3
OD-000244,"[np.str_('Furnishings'), np.str_('Tables'), np.str_('Supplies'), np.str_('Chairs')]",4
OD-000245,"[np.str_('Tables'), np.str_('Copiers'), np.str_('Chairs')]",3
OD-000246,"[np.str_('Machines'), np.str_('Copiers'), np.str_('Phones'), np.str_('Supplies')]",4
OD-000247,"[np.str_('Phones'), np.str_('Chairs')]",2
OD-000248,"[np.str_('Paper'), np.str_('Phones'), np.str_('Machines'), np.str_('Accessories')]",4
OD-000249,"[np.str_('Accessories'), np.str_('Bookcases'), np.str_('Tables')]",3
OD-000250,"[np.str_('Labels'), np.str_('Machines'), np.str_('Furnishings')]",3
OD-000251,"[np.str_('Labels'), np.str_('Paper'), np.str_('Bookcases')]",3
OD-000252,"[np.str_('Copiers'), np.str_('Bookcases'), np.str_('Paper'), np.str_('Chairs')]",4
OD-000253,"[np.str_('Bookcases'), np.str_('Supplies')]",2
OD-000254,"[np.str_('Accessories'), np.str_('Binders'), np.str_('Machines'), np.str_('Copiers'), np.str_('Supplies')]",5
OD-000255,"[np.str_('Bookcases'), np.str_('Copiers')]",2
OD-000256,"[np.str_('Bookcases'), np.str_('Tables')]",2
OD-000257,"[np.str_('Chairs'), np.str_('Bookcases'), np.str_('Copiers'), np.str_('Storage'), np.str_('Supplies')]",5
OD-000258,"[np.str_('Bookcases'), np.str_('Machines')]",2
OD-000259,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Storage')]",3
OD-000260,"[np.str_('Labels'), np.str_('Binders'), np.str_('Machines')]",3
OD-000261,"[np.str_('Paper'), np.str_('Storage'), np.str_('Accessories')]",3
OD-000262,"[np.str_('Tables'), np.str_('Binders'), np.str_('Chairs')]",3
OD-000263,"[np.str_('Binders'), np.str_('Copiers'), np.str_('Storage')]",3
OD-000264,"[np.str_('Accessories'), np.str_('Chairs'), np.str_('Labels'), np.str_('Machines'), np.str_('Furnishings')]",5
OD-000265,"[np.str_('Bookcases'), np.str_('Furnishings')]",2
OD-000266,"[np.str_('Phones'), np.str_('Chairs'), np.str_('Labels'), np.str_('Bookcases'), np.str_('Copiers')]",5
OD-000268,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Binders'), np.str_('Supplies')]",4
OD-000269,"[np.str_('Accessories'), np.str_('Furnishings')]",2
OD-000270,"[np.str_('Accessories'), np.str_('Chairs')]",2
OD-000271,"[np.str_('Tables'), np.str_('Machines')]",2
OD-000272,"[np.str_('Labels'), np.str_('Copiers'), np.str_('Accessories'), np.str_('Chairs')]",4
OD-000273,"[np.str_('Phones'), np.str_('Paper'), np.str_('Binders'), np.str_('Furnishings')]",4
OD-000274,"[np.str_('Supplies'), np.str_('Binders'), np.str_('Machines'), np.str_('Furnishings')]",4
OD-000275,"[np.str_('Paper'), np.str_('Supplies')]",2
OD-000276,"[np.str_('Supplies'), np.str_('Paper'), np.str_('Machines'), np.str_('Chairs')]",4
OD-000277,"[np.str_('Phones'), np.str_('Chairs'), np.str_('Machines'), np.str_('Copiers'), np.str_('Supplies')]",5
OD-000278,"[np.str_('Supplies'), np.str_('Furnishings')]",2
OD-000279,"[np.str_('Phones'), np.str_('Machines'), np.str_('Furnishings')]",3
OD-000280,"[np.str_('Labels'), np.str_('Machines')]",2
OD-000281,"[np.str_('Accessories'), np.str_('Copiers'), np.str_('Furnishings')]",3
OD-000282,"[np.str_('Binders'), np.str_('Phones'), np.str_('Machines'), np.str_('Tables')]",4
OD-000283,"[np.str_('Accessories'), np.str_('Bookcases')]",2
OD-000284,"[np.str_('Binders'), np.str_('Paper'), np.str_('Phones')]",3
OD-000285,"[np.str_('Phones'), np.str_('Machines')]",2
OD-000286,"[np.str_('Tables'), np.str_('Supplies'), np.str_('Furnishings')]",3
OD-000287,"[np.str_('Binders'), np.str_('Storage'), np.str_('Machines'), np.str_('Tables')]",4
OD-000288,"[np.str_('Accessories'), np.str_('Copiers')]",2
OD-000289,"[np.str_('Chairs'), np.str_('Tables'), np.str_('Storage'), np.str_('Furnishings')]",4
OD-000290,"[np.str_('Tables'), np.str_('Copiers'), np.str_('Binders'), np.str_('Machines')]",4
OD-000291,"[np.str_('Accessories'), np.str_('Machines')]",2
OD-000292,"[np.str_('Paper'), np.str_('Furnishings')]",2
OD-000293,"[np.str_('Phones'), np.str_('Labels'), np.str_('Bookcases'), np.str_('Machines'), np.str_('Storage')]",5
OD-000294,"[np.str_('Labels'), np.str_('Paper'), np.str_('Accessories')]",3
OD-000295,"[np.str_('Accessories'), np.str_('Machines')]",2
OD-000296,"[np.str_('Tables'), np.str_('Paper'), np.str_('Storage'), np.str_('Machines')]",4
OD-000297,"[np.str_('Labels'), np.str_('Tables'), np.str_('Phones')]",3
OD-000298,"[np.str_('Labels'), np.str_('Paper'), np.str_('Tables'), np.str_('Furnishings')]",4
OD-000299,"[np.str_('Labels'), np.str_('Phones')]",2
OD-000300,"[np.str_('Labels'), np.str_('Paper'), np.str_('Furnishings')]",3
OD-000301,"[np.str_('Labels'), np.str_('Binders'), np.str_('Chairs'), np.str_('Furnishings')]",4
OD-000302,"[np.str_('Accessories'), np.str_('Copiers'), np.str_('Storage'), np.str_('Furnishings')]",4
OD-000303,"[np.str_('Paper'), np.str_('Furnishings')]",2
OD-000305,"[np.str_('Accessories'), np.str_('Supplies'), np.str_('Tables')]",3
OD-000306,"[np.str_('Bookcases'), np.str_('Binders'), np.str_('Accessories'), np.str_('Chairs')]",4
OD-000307,"[np.str_('Phones'), np.str_('Labels'), np.str_('Bookcases'), np.str_('Tables')]",4
OD-000308,"[np.str_('Chairs'), np.str_('Accessories'), np.str_('Phones'), np.str_('Furnishings')]",4
OD-000309,"[np.str_('Bookcases'), np.str_('Copiers'), np.str_('Supplies')]",3
OD-000310,"[np.str_('Machines'), np.str_('Chairs')]",2
OD-000311,"[np.str_('Tables'), np.str_('Paper'), np.str_('Supplies')]",3
OD-000312,"[np.str_('Bookcases'), np.str_('Binders'), np.str_('Tables'), np.str_('Furnishings')]",4
OD-000313,"[np.str_('Labels'), np.str_('Copiers'), np.str_('Phones'), np.str_('Chairs')]",4
OD-000314,"[np.str_('Paper'), np.str_('Phones'), np.str_('Tables'), np.str_('Bookcases'), np.str_('Furnishings')]",5
OD-000315,"[np.str_('Paper'), np.str_('Labels'), np.str_('Machines'), np.str_('Storage'), np.str_('Supplies')]",5
OD-000317,"[np.str_('Labels'), np.str_('Copiers'), np.str_('Machines'), np.str_('Furnishings')]",4
